X1,X2,Y
-20,-5,779
-17,-3,567
6,-10,26
-9,7,201
-11,14,316
10,-19,109
16,-11,461
-10,16,284
17,11,637
-15,18,544
0,-10,-46
9,-1,161
10,-9,159
10,-19,109
-10,2,214
10,6,234
-18,16,732
-3,10,72
-5,9,99
-9,-17,81
19,0,726
-14,9,441
-5,3,69
7,-1,97
-11,19,341
-19,17,811
10,-13,139
9,5,191
-18,-15,577
-15,-1,449
-11,2,256
-13,15,417
10,14,274
11,-11,191
5,-3,39
17,15,657
-14,-18,306
-6,5,101
16,0,516
8,13,197
19,-6,696
19,13,791
-3,6,52
-1,-14,-64
5,10,104
-9,-4,146
-16,4,536
-18,10,702
20,19,899
-6,-20,-24
-11,10,296
-19,14,796
18,9,697
-14,-16,316
-20,15,879
-5,12,114
-6,13,141
-1,11,61
14,13,461
7,-1,97
17,3,597
7,7,137
5,5,79
9,17,251
-11,5,271
-6,0,76
6,13,141
19,2,736
-14,-8,356
-1,-17,-79
13,9,387
1,6,36
-12,20,392
11,-7,211
18,-18,562
13,-20,242
-4,-13,-29
3,15,97
5,-1,49
5,-4,34
7,7,137
-9,-19,71
-13,-9,297
-19,-19,631
-4,-6,6
-6,-8,36
10,0,204
-15,-20,354
18,-18,562
19,9,771
-11,-1,241
-11,2,256
12,-19,197
-12,19,387
5,1,59
8,-6,102
-6,1,81
4,17,121
10,-17,119
-7,1,107
-11,17,331
-5,-19,-41
7,17,187
-17,12,642
6,-17,-9
-13,-9,297
14,-4,376
-13,-17,257
-17,16,662
-3,0,22
-13,0,342
-16,-11,461
6,-3,61
13,15,417
-5,17,139
-6,-20,-24
2,-18,-78
18,10,702
-15,-6,424
11,-3,231
-1,-15,-69
19,-3,711
-20,-9,759
1,1,11
-14,1,401
4,12,96
-12,17,377
3,18,112
11,-4,226
-11,-10,196
5,-9,9
-17,-4,562
-16,12,576
-14,10,446
16,-10,466
7,-12,42
-8,-5,107
15,-14,384
14,-16,316
16,7,551
20,-13,739
-19,-20,626
18,7,687
-19,7,761
7,20,202
0,-10,-46
6,2,86
1,-2,-4
4,-9,-9
16,15,591
-20,-4,784
8,-7,97
-5,6,84
-12,-2,282
-20,-17,719
-20,-1,799
-20,-8,764
14,-2,386
17,6,612
-2,16,92
14,7,431
-20,-13,739
-8,0,132
16,-13,451
-12,10,342
-9,10,216
5,1,59
-2,-3,-3
-1,1,11
12,17,377
12,-8,252
-6,11,131
-7,1,107
-10,19,299
-8,-8,92
1,-7,-29
-5,20,154
1,2,16
-5,1,59
20,16,884
6,9,121
-6,13,141
-12,13,357
12,-20,192
1,11,61
16,7,551
-19,19,821
-13,-10,292
-6,20,176
9,-16,86
-15,11,509
-5,-12,-6
3,-15,-53
-6,3,91
-4,7,71
-19,-14,656
-10,19,299
-6,16,156
-2,-16,-68
7,-3,87
4,7,71
-6,10,126
17,-14,512
9,2,176
-12,0,292
12,16,372
-5,-13,-11
14,-14,326
-20,0,804
-14,8,436
-5,-5,29
-10,15,279
-9,6,196
-14,2,406
9,-6,136
16,18,606
9,-11,111
19,18,816
3,16,102
-12,18,382
-4,-4,16
-12,-18,202
20,-12,744
12,-12,232
1,-3,-9
3,-10,-28
19,17,811
-4,-9,-9
-7,7,137
10,-14,134
2,9,57
-18,-9,607
1,6,36
-11,16,326
15,-6,424
-14,16,476
-9,3,181
2,12,72
-5,19,149
-4,17,121
-11,3,261
-9,0,166
-14,-8,356
4,-9,-9
-19,-12,666
0,-6,-26
-20,14,874
8,1,137
-18,-12,592
12,1,297
-6,-17,-9
14,-12,336
-10,-10,154
4,-18,-54
-18,5,677
18,9,697
-1,1,11
-16,10,566
-6,-16,-4
11,16,326
-14,-14,326
15,3,469
-3,2,32
-17,7,617
-16,10,566
6,-4,56
7,-8,62
-8,-6,102
-13,19,437
-14,4,416
6,-10,26
4,-5,11
2,-19,-83
-20,0,804
15,12,514
3,-4,2
-6,-4,56
10,-18,114
20,17,889
-20,-16,724
17,-18,492
19,9,771
6,-19,-19
20,-8,764
0,6,34
-10,-9,159
5,0,54
-3,-19,-73
6,6,106
16,1,521
6,13,141
-14,10,446
-16,9,561
-15,8,494
-17,-8,542
-14,11,451
-19,-5,701
-20,-2,794
-3,-7,-13
15,7,489
16,-8,476
3,-11,-33
2,12,72
-9,4,186
11,13,311
0,5,29
10,13,269
-12,-14,222
6,0,76
19,12,786
-19,8,766
7,-19,7
10,4,224
17,-13,517
-12,-18,202
-10,18,294
11,-14,176
-11,8,286
12,-10,242
-1,-10,-44
-17,19,677
-14,-12,336
10,20,304
-7,9,147
-7,11,157
-8,2,142
7,-11,47
9,-20,66
3,9,67
10,-16,124
8,-6,102
-9,12,226
17,1,587
-17,-6,552
-8,9,177
-18,11,707
-1,-9,-39
-7,-10,52
-16,20,616
0,-12,-56
-11,19,341
2,11,67
12,17,377
-20,-18,714
17,-9,537
-18,-7,617
-4,-5,11
9,-9,121
15,-2,444
-19,15,801
14,10,446
18,-16,572
-3,-11,-33
15,-20,354
-7,5,127
-1,-13,-59
-2,12,72
-1,-5,-19
-7,-2,92
-19,-17,641
-4,3,51
-6,-6,46
-9,-1,161
19,18,816
-8,-10,82
12,-1,287
18,13,717
19,-10,676
-3,18,112
4,9,81
1,16,86
8,-7,97
-16,15,591
1,-9,-39
-12,19,387
2,-11,-43
13,20,442
-4,1,41
14,-4,376
19,-9,681
-15,12,514
2,-20,-88
19,13,791
9,13,231
-1,18,96
3,14,92
0,-19,-91
-9,-13,101
-15,12,514
-7,-5,77
20,13,869
-15,18,544
2,-10,-38
9,-12,106
-4,-18,-54
15,-2,444
17,-5,557
-2,-8,-28
-20,16,884
-19,-13,661
-6,-10,26
19,-20,626
15,11,509
8,-3,117
14,18,486
19,9,771
-16,-14,446
10,2,214
16,18,606
14,11,451
-13,-9,297
-1,1,11
15,-4,434
14,-19,301
4,5,61
-18,12,712
8,-2,122
-10,-11,149
7,-8,62
8,16,212
-10,17,289
0,-8,-36
-18,17,737
-9,7,201
1,20,106
8,3,147
-14,-19,301
5,3,69
8,6,162
-5,-16,-26
-10,-16,124
-3,17,107
-8,3,147
-17,0,582
-20,13,869
-3,-9,-23
-18,11,707
0,-19,-91
5,1,59
-3,-10,-28
-11,-7,211
4,17,121
-10,-16,124
-14,16,476
-20,-13,739
14,20,496
-9,-4,146
2,15,87
10,-17,119
-18,-1,647
20,2,814
15,-10,404
18,16,732
-14,14,466
20,-9,759
-19,12,786
16,4,536
17,-18,492
-4,-16,-44
-1,5,31
-13,0,342
-2,-9,-33
17,-2,572
13,-13,277
-7,-17,17
-4,-20,-64
-18,-11,597
13,5,367
-17,-6,552
-5,1,59
13,-3,327
-8,19,227
-7,-5,77
-9,11,221
-15,-5,429
-9,-13,101
14,8,436
-17,1,587
-4,15,111
-1,5,31
-2,8,52
-3,-11,-33
-5,8,94
5,1,59
-15,-8,414
-19,7,761
-2,2,22
-6,1,81
18,5,677
-1,-20,-94
16,13,581
-20,-15,729
2,-19,-83
-14,0,396
-15,-20,354
-4,-7,1
-3,-7,-13
-14,14,466
10,5,229
-8,-9,87
17,18,672
-2,3,27
13,-12,282
2,-13,-53
17,-15,507
3,14,92
-12,-18,202
-3,8,62
-16,10,566
-14,-16,316
9,16,246
-13,8,382
-6,-20,-24
-17,2,592
0,-5,-21
-18,10,702
3,11,77
-1,13,71
11,5,271
17,-3,567
